$SDODC,18:48:04,16° 59.3627' N,091° 35.3615' W,A,5.80,M,A
$SDODC,18:48:05,16° 59.3622' N,091° 35.3604' W,A,5.80,M,A
$SDODC,18:48:05,16° 59.3622' N,091° 35.3604' W,A,6.00,M,A
$SDODC,18:48:05,16° 59.3622' N,091° 35.3604' W,A,5.90,M,A
$SDODC,18:48:05,16° 59.3622' N,091° 35.3604' W,A,5.80,M,A
$SDODC,18:48:05,16° 59.3622' N,091° 35.3604' W,A,5.60,M,A
$SDODC,18:48:06,16° 59.3622' N,091° 35.3604' W,A,5.40,M,A
$SDODC,18:48:06,16° 59.3622' N,091° 35.3604' W,A,5.50,M,A
$SDODC,18:48:06,16° 59.3617' N,091° 35.3593' W,A,5.10,M,A
$SDODC,18:48:06,16° 59.3617' N,091° 35.3593' W,A,5.60,M,A
$SDODC,18:48:06,16° 59.3617' N,091° 35.3593' W,A,5.70,M,A
$SDODC,18:48:07,16° 59.3612' N,091° 35.3582' W,A,5.10,M,A
$SDODC,18:48:07,16° 59.3612' N,091° 35.3582' W,A,5.70,M,A
$SDODC,18:48:07,16° 59.3612' N,091° 35.3582' W,A,5.10,M,A
$SDODC,18:48:07,16° 59.3612' N,091° 35.3582' W,A,5.00,M,A
$SDODC,18:48:07,16° 59.3612' N,091° 35.3582' W,A,5.10,M,A
$SDODC,18:48:08,16° 59.3606' N,091° 35.3572' W,A,5.50,M,A
$SDODC,18:48:08,16° 59.3606' N,091° 35.3572' W,A,4.70,M,A
$SDODC,18:48:08,16° 59.3606' N,091° 35.3572' W,A,4.70,M,A
$SDODC,18:48:08,16° 59.3606' N,091° 35.3572' W,A,4.70,M,A
$SDODC,18:48:08,16° 59.3606' N,091° 35.3572' W,A,5.00,M,A
$SDODC,18:48:09,16° 59.3599' N,091° 35.3562' W,A,4.90,M,A
$SDODC,18:48:09,16° 59.3599' N,091° 35.3562' W,A,4.60,M,A
$SDODC,18:48:09,16° 59.3599' N,091° 35.3562' W,A,4.90,M,A
$SDODC,18:48:09,16° 59.3599' N,091° 35.3562' W,A,5.10,M,A
$SDODC,18:48:09,16° 59.3599' N,091° 35.3562' W,A,4.60,M,A
$SDODC,18:48:10,16° 59.3592' N,091° 35.3552' W,A,5.00,M,A
$SDODC,18:48:10,16° 59.3592' N,091° 35.3552' W,A,4.70,M,A
$SDODC,18:48:10,16° 59.3592' N,091° 35.3552' W,A,4.20,M,A
$SDODC,18:48:10,16° 59.3592' N,091° 35.3552' W,A,4.90,M,A
$SDODC,18:48:10,16° 59.3592' N,091° 35.3552' W,A,4.50,M,A
$SDODC,18:48:11,16° 59.3592' N,091° 35.3552' W,A,4.50,M,A
$SDODC,18:48:11,16° 59.3592' N,091° 35.3552' W,A,4.60,M,A
$SDODC,18:48:11,16° 59.3584' N,091° 35.3543' W,A,4.60,M,A
$SDODC,18:48:11,16° 59.3584' N,091° 35.3543' W,A,4.50,M,A
$SDODC,18:48:11,16° 59.3584' N,091° 35.3543' W,A,4.40,M,A
$SDODC,18:48:12,16° 59.3584' N,091° 35.3543' W,A,4.10,M,A
$SDODC,18:48:12,16° 59.3576' N,091° 35.3535' W,A,4.50,M,A
$SDODC,18:48:12,16° 59.3576' N,091° 35.3535' W,A,4.40,M,A
$SDODC,18:48:12,16° 59.3576' N,091° 35.3535' W,A,4.40,M,A
$SDODC,18:48:12,16° 59.3576' N,091° 35.3535' W,A,4.50,M,A
$SDODC,18:48:13,16° 59.3567' N,091° 35.3527' W,A,4.40,M,A
$SDODC,18:48:13,16° 59.3567' N,091° 35.3527' W,A,4.00,M,A
$SDODC,18:48:13,16° 59.3567' N,091° 35.3527' W,A,4.20,M,A
$SDODC,18:48:13,16° 59.3567' N,091° 35.3527' W,A,4.20,M,A
$SDODC,18:48:13,16° 59.3567' N,091° 35.3527' W,A,4.10,M,A
$SDODC,18:48:14,16° 59.3559' N,091° 35.3519' W,A,4.30,M,A
$SDODC,18:48:14,16° 59.3559' N,091° 35.3519' W,A,4.30,M,A
$SDODC,18:48:14,16° 59.3559' N,091° 35.3519' W,A,4.20,M,A
$SDODC,18:48:14,16° 59.3559' N,091° 35.3519' W,A,4.40,M,A
$SDODC,18:48:14,16° 59.3559' N,091° 35.3519' W,A,4.00,M,A
$SDODC,18:48:15,16° 59.3551' N,091° 35.3510' W,A,3.90,M,A
$SDODC,18:48:15,16° 59.3551' N,091° 35.3510' W,A,4.50,M,A
$SDODC,18:48:15,16° 59.3551' N,091° 35.3510' W,A,4.40,M,A
$SDODC,18:48:15,16° 59.3551' N,091° 35.3510' W,A,4.40,M,A
$SDODC,18:48:15,16° 59.3551' N,091° 35.3510' W,A,4.50,M,A
$SDODC,18:48:16,16° 59.3551' N,091° 35.3510' W,A,4.30,M,A
$SDODC,18:48:16,16° 59.3551' N,091° 35.3510' W,A,3.90,M,A
